article,classification,summary
"A photographer has described the horror of being left almost completely blind in one eye by her contact lens. Lucy garrod, now 27, developed an ulcer known as a corneal abrasion, caused by a bacterial infection which grew under her right lens. Miss garrod had been wearing contact lenses since she was 15 with no problems, but woke up one day with an itchy and irritable right eye. Lucy garrod, 27, was left partially blind in her right eye after bacteria began growing underneath her contact lens, causing an ulcer known as a corneal abrasion. Miss garrod had worn contact lenses for 12 years with no problem, but woke up one morning feeling as though her eye was `the size of a golf ball' miss garrod feared she would not be able to carry on with her photography degree due to going partially blind in one eye. But she learned to take photographs with her left eye and passed with first class honours. She said it felt like it had swollen to the size of a golf ball, and rushed to see her gp, who prescribed drops. A few days later her eye was still swollen and bloodshot so she went to hospital, where tests revealed the corneal abrasion. Doctors said the ulcer was growing on the surface of her eye, millimetres away from permanently blinding her. She spent a week in hospital, where medics broke the news that she was still partially blind. As a result, she feared she would not be able to complete the last year of her photography degree. Determined not to give up, she taught herself how to take photographs with her left eye, and passed her degree with first class honours. Fortunately, laser eye surgery was later able to restore her sight. Miss garrod, a freelance photographer living in london, said : `that day i'd put my lenses in late that morning, but by 4pm my eye was aching. ` it was itchy and",correct,"Lucy garrod, 27, developed an ulcer known as a corneal abrasion, caused by a bacterial infection which grew under her right lens. Miss garrod had been wearing contact lenses since she was 15 with no problems, but woke up one day with an itchy and irritable right eye. Doctors said the ulcer was growing on the surface of her eye."
"A south carolina mother of four died over the weekend after collapsing moments after completing a half marathon. Amanda peake glover was a devoted youth ministry teacher and choir singer who'd only one month before had completed the myrtle beach marathon with her brother. Glover was also a co - owner of an elgin fitness center, leaving her mourning friends and family all the more shocked at her sudden death following saturday's race. Collapsed : south carolina mother - of - four amanda peake glover died saturday after running the palmetto half marathon. Her husband, benji, is, no doubt, the most shocked of all. Amanda's friend ashley blocker says benji was just behind his wife of nine years in the palmetto half marathon. ` he was four minutes behind her,' blocker told wltx. ` i'm sure he thought well i'll catch up with her at the finish line and she'll gloat about how she beat me and we'll go about our day, you know. It makes you hold people a little bit tighter and not take things for granted.' Blocker met glover at fitness 535 in columbia, which glover co - owned.' I watched her mother her four children - rsb -, and if i'm half the mother she was, then i'll be doing a really good job,' blocker said. Amanda was a fitness lover and a month before her death had run a full marathon with her brother, who said they crossed the finish line hand - in - hand. Fitness lover : amanda was a fitness lover who co - owned a fitness center and only a month before her death had run a full marathon. Shockiong : her brother josh said he and his sister had finished the myrtle beach marathon hand - in - hand just a month ago. ` it hasn't completely hit me yet,' josh peake said.' I feel like i'm going to wake up from a dream. She",correct,Amanda peake glover was also a co-owner of an elgin fitness center. Her friend ashley blocker says benji was just behind his wife of nine years in the palmetto half marathon. Amanda was a fitness lover and only a month before her death had run a full marathon with her brother.
"A teenage farmer who struggled with anorexia died after she took an overdose of an animal medication. Charlotte cobbald, 17, took the deadly medicine, which her father stephen was keeping illegally, and injected it after saying she felt like a `failure'. She then ran away from her father, saying `let me die', before she collapsed in a field and her family called 999, an inquest heard. Paramedics fought to save her and took her in an ambulance to hospital, but charlotte died from the effects of the drug. Overdose : 17 - year - old farmer charlotte cobbald died while suffering from anorexia and depression. At the time she died in august, charlotte was visiting the family farm in acton, suffolk while on day release from a mental health unit where she was treated for anorexia and depression. She was an a * gcse student who had a talent for sheep farming, but was a `perfectionist' who had battled anorexia and depression, the hearing was told. On august 4 she came home and took some training sheepdogs out with her father, then told him she felt she was a `complete failure'. They returned to the farm office where farm secretary katherine turner was working. While her father stood at the door, charlotte went over to a fridge full of veterinary medication, found the antibiotics - used to treat farm animals - and injected herself with the drug. Mrs turner said :' i knew she was unwell but she didn't seem too bad, there was no immediate cause or concern.' I don't know how we didn't see. Mr cobbald seemed to know something had happened. He said, `` have you done something?' ' and she replied yes. ` she just ran. I got in another vehicle and followed them. She was saying, `` leave me alone, let me die, leave me to die.' ' `she slumped and she was",correct,"Charlotte cobbald, 17, ran away from her father, saying `let me die' before she collapsed in a field and her family called 999. Paramedics fought to save her and took her in an ambulance to hospital, but charlotte died from the effects of the drug. At the time she died in august, charlotte was visiting the family farm in suffolk while on day release from a mental health unit."
"A teenager is in intensive care after he drunkenly slid down a glass shopping centre roof and crashed onto stone steps. Jacob polyakov cracked his head on the floor after plunging off the edge of the sec `globe' centre in kiev, ukraine. His friend jamal maslow, who fell off the roof first, broke his coccyx after landing on the corner of one of the steps. Witnesses rushed over to the teenagers, both 17, after the accident and found mr maslow in huge amounts of pain. Mr polyakov was unconscious. Pavel yaremenko was at the shopping centre and said the problems started when the boys began to `fool around' at the top of the building. The 29 - year - old said :' i don't think they really intended to jump, but their friends were encouraging them so they decided to do it. ` once they started picking up speed they must have regretted it but it was too late to stop then. A teenager is in intensive care and another has a broken coccyx after they drunkenly slid down a glass shopping centre roof and crashed onto stone steps in kiev, ukraine. Jacob polyakov ( orange top ) and jamal maslow ( blue top ), both 17, quickly gathered speed and hit the stone steps below the edge of the roof with some speed. Witnesses rushed over to the teenagers, both 17, after the accident and found mr maslow in huge amounts of pain. Mr polyakov was unconscious. ` they really hit the ground fast.' The video was captured by one of the boy's friends. Both mr maslow and mr polyakov were taken to hospital.",correct,"Jacob polyakov cracked his head on the floor after plunging off the edge of the sec `globe' centre in kiev, ukraine. His friend jamal maslow was at the shopping centre. Mr polyakov is in intensive care after he drunkenly slid down a glass shopping centre roof and crashed onto stone steps."
"A texas english high school teacher has been arrested after being accused of having an improper relationship with a male student older than 17 years old. Mary todd lowrance, 49, a teacher at moises e molina high school, turned herself into dallas independent school district police on thursday morning, according to dallas isd police chief craig miller. Miller said the teacher had been in a relationship with the student for a couple of months. Officers learned of the alleged relationship after lowrance disclosed details to a coworker who then alerted a dallas isd officer. Mary todd lowrance ( above ), 49, a texas english high school teacher was arrested after being accused of having an improper relationship with a male student over the age of 17, according to authorities. If the student had been a juvenile, the case would have been handled by the dallas police department, miller told the dallas morning news. ` when you get 160, 000 students and 10, 000 teachers, you hear a lot of rumors, and you have to investigate all of them,' said miller. ` and in this case, there was something to it. The student has been offered counseling. We're doing everything we can for him as well.' Miller said that after lowrance's coworker alerted authorities, it prompted an investigation where interviews were conducted with lowrance, the student and two witnesses. The dallas isd police then got an arrest warrant. Miller said lowrance has been on leave for several weeks while investigators worked on the case, according to nbcdfw. After she turned herself into authorities, she was booked into the dallas county jail around 11am on thursday on a $ 5, 000 bond and was released at 4. 40 pm, according to county records. Calls made to the dallas independent school district police on friday were not immediately returned to daily mail online. Lowrance, a teacher at moises e molina high school ( file photo above ),",correct,"Mary todd lowrance, 49, a teacher at moises e molina high school, turned herself into dallas independent school district police on thursday morning. Miller said the teacher had been in a relationship with the student for a couple of months. Officers learned of the alleged relationship after lowrance disclosed details to a coworker."
"A woman is in a critical condition after falling 30 metres from the highest lookout in blue mountains when she slipped trying to retrieve her mobile phone. The 44 - year - old, named by locals as donna christie, slipped and fell from hassans fall lookout at lithgow on tuesday afternoon, the abc reports. She was bushwalking with a male friend and her two children, aged 12 and 13, when she dropped her phone at the lookout, which is almost 1, 100 metres above sea level. The 44 - year - old, named by locals as donna christie, slipped and fell from hassans fall lookout at lithgow on tuesday afternoon. She is believed to have suffered serious head, spinal and chest injuries when she plunged 30 metres. Her friend raised the alarm and it took two hours for police, paramedics and the lithgow volunteer rescue squad to rescue the woman. ` the paramedics were assisted by emergency services personnel to stabilise the then unconscious patient, lift her back up to the top of the cliff face, where an ambulance helicopter was then dispatched from sydney,' an ambulance spokesman said. She was bushwalking with a male friend and her two children, aged 12 and 13, when she dropped her phone at the lookout, which is almost 1, 100 metres above sea level. She is believed to have suffered serious head, spinal and chest injuries when she plunged 30 metres. She was airlifted to westmead hospital in sydney where she remains in a stable condition. ` it was one of those tragic accidents that could have been avoided,' lithgow police inspector chris sammut said. ` in this case, it would appear that she's accidently dropped her phone and in trying to retrieve it, she's lost her footing and fallen.' Inspector sammut said parts of the lookout didn't have fencing and walkers needed to be vigilant to avoid risks. ` we have to weigh up whether a mobile phone is",correct,"The 44-year-old, named by locals as donna christie, slipped and fell from hassans fall lookout at lithgow on tuesday afternoon. She was bushwalking with a male friend and her two children, aged 12 and 13, when she dropped her phone at the lookout. She is believed to have suffered serious head, spinal and chest injuries when she plunged 30 metres."
"A woman who allegedly dumped her quadriplegic son in the woods so she could spend the week with her out - of - state boyfriend is now facing an attempted murder charge, police have said. Nyia parler, 41, has been hospitalized for undisclosed reasons in maryland ever since her 21 - year - old son was found in a pile of wet leaves in cobb creek park in philadelphia last friday. Police believe the man had been left in the woods all week - with nothing but a bible and a blanket - and was exposed to the rain and cold and to wild animals. He was found next to his wheelchair. Parler was initially charged with aggravated assault, kidnapping and neglect of a care - dependent person, and police have now added attempted murder to the list. Accused : nyia parler, 41, who is in hospital for undisclosed reasons, now faces an attempted murder charge for allegedly dumping her disabled son, 21, in the rainy and cold woods for five days. Charged : parler ( right ) left her son on monday to visit her boyfriend john ferguson ( left ), right. Ferguson thought that other relatives were looking after the son, while parler told relatives the boy was with her. Police said they did not expect to arrest parler until she was cleared for release from the hospital and charged in maryland as a fugitive. They would then seek to have her extradited. Captain paul starks of the montgomery county sheriff's department in maryland said on monday that security reasons prevented him from disclosing the name of the facility where parler is being held and medical privacy laws prevented him from discussing parler's health condition. The last time the mother and son were seen together was on easter sunday. She then allehedly boarded a bus to visit her new boyfriend, john ferguson, in maryland, authorities said. She told concerned relatives last week that she had taken her son with her when she went to",correct,"Nyia parler, 41, has been hospitalized for undisclosed reasons in maryland ever since her son was found in a pile of wet leaves in cobb creek park. Police believe the man had been left in the woods all week - with nothing but a bible and a blanket - and was exposed to the rain and cold and to wild animals. Parler was initially charged with aggravated assault, kidnapping and neglect of a care-dependent person."
"A woman who ended up getting lost while running a marathon in raleigh, north carolina and ended up having to hitch a ride with the cops to get back on course, still won her race some nine minutes ahead of her closest competitor. Heidi bretscher's troubles began around mile 17 of the rock n' roll raleigh marathon that took place earlier this month. The 28 - year - old runner was so far ahead of the pack it wasn't clear to her which way she was meant to go. Wrong way : heidi bretscher, 28, said she was on pace to beat her personal record when she, and the two cyclists who were accompanying her, missed an unmarked turn. Retracing her steps : at mile 19, bretscher was leading the women's race by about 30 minutes. She found a police officer who gave her a ride back to mile 17. Somehow, she ended up running entirely off the planned route and around a lake that wasn't even on the course. Despite her unscheduled detour, ms. Bretscher's was brought back on track by a couple of helpful cops who drove her in their patrol cars back to the point in the race where things became muddled. After working out her timings and distances she still managed to cross the line well ahead of her closest rival. ` i'm a little frustrated,' she told abc 11 following her victory.' I ran three miles off course because i didn't know which way to run in the race.' ` usually when you cross the finish line, you're really excited. I wasn't excited,' she said.' I was just really nervous that i was going to get in trouble because i didn't stay on course.' No sign : the route changed from the 2014 race leaving several turns unmarked allowing runners to get lost. Off course : before the mishap, bretscher said she was on",correct,"Heidi bretscher, 28, found a police officer who gave her a ride back to mile 17. At mile 19, bretscher was leading the women's race by about 30 minutes. She said she was on pace to run her best time ever."
"An accomplice who was aged 16 when he held a knife to pamela smart's husband's throat before a friend shot him dead has been granted parole after 25 years. Patrick randall was 16 in may 1990 when he held a knife to gregory smart's throat as his friend billy flynn, shot him in the head. Flynn was pamela smart's then - 16 - year - old lover and shot her husband dead at her request. Patrick randall ( pictured ) was 16 in may 1990 when he held a knife to gregory smart's throat as billy flynn, who was pamela smart's then - 16 - year - old lover, shot him in the head. Dean smart, brother of gregory smart, speaks to patrick randall, left, with his attorney mark stevens during randall's parole hearing on thursday. Randall, 17, testifies in rockingham county superior court in exeter, n. H in 1991. Flynn was paroled last month ; smart is serving life without parole after being convicted of plotting the murder. Now 41, randall won parole thursday at his first hearing - he won't be released until after june 4. Smart was media coordinator at winnacunnet high school in hampton, where both boys were students, when she first seduced flynn in the months before her husband was killed. Flynn testified that she told him she needed her husband killed because she feared she would lose everything if they divorced. Pamela smart ( seen in 1991 ) was convicted of conspiring with her teen lover, william `billy' flynn, to kill her 24 - year - old husband, gregory smart. Smart is serving a life without parole sentence. In this 1991 file photo, flynn testifies on his 17th birthday how he shot gregory smart in the head. He said she threatened to break up with him if he did not kill gregg smart. On may 1, 1990, randall and flynn entered the smarts' derry condom",correct,"Patrick randall was 16 in may 1990 when he held a knife to gregory smart's throat as his friend billy flynn, shot him in the head. Flynn was pamela smart's then-16-year-old lover and shot her husband dead at her request. Randall won parole thursday at his first hearing - he won't be released until after june 4."
"An adorable orphaned wombat has found herself a new friend - and a very prickly pillow. Chloe the wombat, who first made headlines after her special bond with her surrogate zookeeper mum emerged last december, has found herself a new buddy at taronga zoo's grounds in sydney after she moved into her new digs alongside a couple of echidnas. In an adorable video uploaded to instagram by taronga zoo, chloe is seen trying to take a nap in the mud on one of the echidnas. As she rolled over to snuggle up, the echidna moved away but chloe still rested her eyes for a moment before getting up. Scroll down for video. Chloe the wombat has mistaken her new echidna friend for a pillow at taronga zoo. She recently moved into her new digs alongside a couple of echidnas who don't seem as eager to snuggle as she is. ` chloe wasted no time making friends with her spiky new housemates and they've been busy digging in the soft dirt together,' taronga zoo said. When she's not napping, chloe likes to follows her zoo keeper evelyn weston around the zoo. ` it's a natural behaviour and something chloe would be doing with her real mother if she'd survived,' evelyn said. Adorable wombat chloe is now one - year - old and lives at taronga zoo in sydney. She has become zoo keeper evelyn weston's little helper and follows her around the zoo. ` wombats stay with their mothers for up to two years, walking by their side until they're old enough to fend for themselves.' The pair have been inseparable since chloe came to the zoo three months ago after her mother was struck and killed by a car near jenolan caves, west of the blue mountains, in june 2014. Chloe stays by evelyn's side while she cleans out exhibits and prepares breakfast for",correct,"Chloe the wombat has mistaken her new echidna friend for a pillow at taronga zoo's grounds in sydney. She recently moved into her new digs alongside a couple of echidnas. In a video posted to instagram by taronga zoo, chloe is seen trying to take a nap in the mud on one of the echidnas."
