article,classification,summary
"A father who was arrested for using medical cannabis on his critically ill two - year - old daughter has pleaded for the government to legalise the drug as her health continues to decline. After hearing positive stories about the benefits of using the controversial treatment, the 32 - year - old cairns man decided to give cannabis oil to his daughter who is battling a rare form of cancer called neuroblastoma. Despite his claims that it improved her condition, the father, who can not be named for legal reasons but has been nicknamed `fearless father', was charged with administering a dangerous drug to a minor and was refused access to his sick daughter. Now he has spoken out in the hope that he can persuade the government to rethink their cannabis laws and drop the charges against him. Scroll down for video. The father has been charged for treating his 2 - year - old daughter with medical cannabis oil. ` my daughter's got a 50 per cent survival rate, it's pretty confronting', he told channel 10. ` each day that ticks over is essentially children suffering as well as my daughter,' he said while talking about legalising medical cannabis. The little girl, who was diagnosed with the deadly disease shortly before christmas, has an 11cm cancerous growth which is putting pressure on her internal organs. Just last week the toddlers condition took a turn for the worse. The young child has a high temperature, an infection and has fluid in her lungs. ` she couldn't really move, i would just show her videos from home. I was crying the whole time because i don't see her enough,' the desperate father said. ` that's been the hardest thing not being there to support her and for her to see me and give her my love and care.' He appeared in court in january, where he was granted the right to visit his daughter, having previously been refused access after he was charged. When asked by ten news if he thought",hallucinated,"Cairns man has been charged with administering a dangerous drug to a minor and refused access to his sick daughter. Now he has spoken out in the hope he can persuade the government to rethink their cannabis laws. Despite his claims it improved her condition, the father, who is battling a rare form of cancer called neuroblastoma."
"A florida woman, 21, has been charged with driving under the influence manslaughter after she allegedly hit and killed a 13 - year - old girl who was sitting in the street in february, police said. When mackenzi sue - rose miller allegedly struck and killed trinity backmann on february 28 in apopka, her blood alcohol content level was over the legal driving limit, police revealed after a month - long investigation. Her bac levels were 0. 114 and 0. 110, lab tests showed. The legal limit in florida is 0. 08. Mackenzi miller ( left and right ), of apopka, florida, was charged with dui manslaughter and dui while causing injuries after allegedly hitting and killing 13 - year - old trinity bachmann. Miller's blood alcohol content levels were 0. 114 and 0. 110, while florida's legal driving limit is 0. 08. Trinity bachmann was sitting in the middle of the road arguing with her mother when both of them were struck by the car. Miller was booked into the orange county jail on thursday after turning herself in and is out on a $ 3, 500 bond, according to the orlando sentinel. Trinity was sitting in the road after an argument with her mother when she was killed, police said. Trinity and her mother, janice pedroza, 36, were heading home from dropping one of the girl's friends off after they attended the central florida fair at about 8. 30 pm. After an argument about who would sit in the front seat, trinity said she would walk home and got out of the vehicle, police said. Trinity ( left and right ) and her mother, janice pedroza, 36, were on their way home from the central florida fair, where trinity was planning to show her pig as part of the future farmers of america program. Trinity and her mother had been arguing over who would sit in the",hallucinated,"Mackenzi miller allegedly struck and killed trinity backmann on february 28 in apopka, florida. Her blood alcohol content level was over the legal driving limit. Miller was booked into the orange county jail on thursday after an argument with her mother when she was killed."
"A husband whose wife was brutally stabbed to death by her own son has described his heartache at her death. Kris wardle, who lives in leicester, thought his world was complete when he married his long - term girlfriend katrina in 2011 with her teenage son, mark, acting as best man. However, less than two years later, the hgv truck driver would be a widower, after his beloved wife was killed in a frenzied knife attack by now 21 - year - old mark after a row over his cannabis use. Scroll down for video. Kris and tina wardle fell in love in 2002 and had planned a life together. ` you could have turned the lights out in the middle of an eclipse and if she smiled, the room would just light up,' said kris. ` if i called her perfect she'd just come round and belt me round the back of the head, cause she knew damn well she wasn't perfect, but to me, that girl, she was just something so special.' Kris said katrina, who was known as tina, already had two children when they met and was a devoted mother when they fell in love in 2002 when her son mark was ten years old. ` they came first, always, there was no question about it, she loved her kids, she loved them to bits,' said kris. ` mark was the apple of tina's eye, no two ways about it. He didn't have an outgoing personality.' Kris said mark was very quiet and only interested in his computer games. Mark howe was obsessed with the tv show dexter which features a serial killer. Michael c hall who starred as dexter in the tv show. ` he didn't talk a lot, he'd come in, he'd do a bit of homework, he'd watch some tv, play computer games and sometimes we'd talk, but it would be inconsequential things, just",hallucinated,"Kris wardle, who lives in leicester, thought his world was complete when he married his long-term girlfriend katrina in 2011 with her son mark, acting as best man. The hgv truck driver would be a widower after his wife was killed in a frenzied knife attack by now 21-year-old mark after a row over his cannabis use. Kris and tina wardle fell in love in 2002 and had planned a life together."
"A married maths teacher at max clifford's old school is facing jail for groping a 15 - year - old pupil in his car. Paul shorter had a series of liaisons with the schoolgirl, who he was giving one - to - one tuition in a `serious' breach of his position of trust at rydens school in hersham, surrey. Guildford crown court heard the 31 - year - old kissed the teenager after class and also groped her in his car. Married paul shorter ( left ), who was a teacher at convicted sex offender max clifford's ( right ) former school in hersham, surrey, is facing jail after admitting a string of sex offences. The father - of - one, of addlestone, surrey, looked shaken and spoke softly as he admitted two counts of sexual activity with a child and one count of sexual activity with a child by a person in a position of trust. The judge was told that the girl had not wanted a sexual relationship with shorter and on one occasion had stormed out of a personal tuition session when he tried to grope her. But that one the instances in question, which took place between december 13, 2013 and january 19 last year, there was `ostensible consent.' Shorter's pregnant wife joanne, who is expecting his child in six weeks, and other members of his family watched from the public gallery as the charges against him were read out. But judge noel lucas ruled that shorter could not be sentenced until a victim impact statement had been taken from the girl to find out how his crimes had affected her. The pair met because shorter was her maths teacher at the school, which counts convicted sex offender max clifford. The 31 - year - old maths teacher kissed the teenager after class at rydens school in hersham, surrey ( pictured ). Disgraced pr guru clifford, 71, was jailed in",hallucinated,"Paul shorter had a series of liaisons with schoolgirl at rydens school. He kissed the teenager after class and groped her in his car. Shorter offender, 71, jailed in may last year after being convicted of indecent assaults between 1977 and 1984."
"A southern iowa chiropractor accused of accepting sex as payment for his services and performing exorcisms on patients has surrendered his state license. The iowa board of chiropractic released a report wednesday detailing charges against charles manuel, of lamoni. Manuel signed an agreement last month admitting his misdeeds and pledging not to apply for reinstatement for at least 10 years. Patient satisfaction : a chiropractor in iowa has surrendered his license to practice and admitted to swapping services for sex and performing exorcisms on some patients. Nonetheless, he's received outstanding evaluations for patient satisfaction on healthgrades. Com. The agreement requires that manuel prove any circumstances surrounding the revocation of his license no longer exist before he can resume practicing chiropractic in the state. Those circumstances included bartering sex for services with some patients. Manuel also recommended that patients stop taking medication he prescribed to them. A woman who answered a call to manuel's home from the des moines register declined to comment on the case. A woman at his former practice said he hadn't worked there for some time. A lamoni address listed on the yelp page for manuel's practice appears to be a home on a residential street. While maneul has received just three patient survey responses on healthgrades. Com, those responses were quite positive. The disgraced chiropractor received a perfect five out of five stars in patient satisfaction. Strange practice : charles manuel, who admitted wrongdoing to the iowa board of chiropractic, listed his practice's addresses on this residential street in the small agricultural town of lamoni in southern iowa.",hallucinated,A chiropractor in iowa has surrendered his license to practice and admitted to swapping services for sex and performing exorcisms on some patients. Manuel also recommended that patients stop taking medication no longer exist before he can resume practicing chiropractic in the state. The disgraced chiropractor received a perfect five out of five stars in patient satisfaction.
"A tiny oil painting that was kept in an attic for years and thought to be worth just $ 300 has now sold for more than $ 120, 000 at auction. The oil painting - which measures nine inches by seven - of a catholic saint was believed to be the work of a `follower' of 16th century renaissance master el greco. But the selling price suggests the untitled, undated and unsigned painting may actually have been done by the artist himself. Auctioneer richard bromell ( pictured ) gave the tiny painting an estimated value of about $ 300 to $ 400 but it ended up selling for more than $ 120, 000. It was acquired by the owner's late father in the 1970s for very little. He bought it because he believed it was a depiction of saint peter, who shares his name. And it was inherited by his son, who has not been named, who kept it in his loft for the past eight years before deciding to sell it following a clear - out. Auctioneer richard bromell, of charterhouse auctioneers of sherborne, dorset, gave the work an estimated value of between $ 300 and $ 400. But after advertising the sale, interest in the work took off. And feverish bidding, final hammer price was $ 98, 000 and came to $ 120, 932 with all the fees added on. Mr bromell said :' i rung the client after the sale and just told him it sold for ninety - eight. He asked `what pounds?' And i told him it was $ 98, 000. ` he said he needed to sit down. When he came down off the ceiling he was very, very pleased. I think if he had been offered $ 500 for it before the auction he would have snapped your hand off.' The oil painting ( right ) was believed to have been the work of a follower of 16th century renaissance master el greco - lrb",hallucinated,"Oil painting measures nine inches by seven - of 16th century renaissance master el greco. But selling price suggests the untitled, undated and unsigned painting may have been done by artist himself. Auctioneer richard bromell bought it because he believed it was a depiction of saint peter."
"A tory councillor with a history of odd behaviour was told to put down his knife and fork after being caught tucking into a roast duck dinner during a council meeting. Jonny bucknell, 58, was enjoying his meal in the council chamber when a labour rival, theo blackwell, spotted him and alerted other councillors. He was forced to put down his cutlery when the mayor, lazzaro pietragnoli, interrupted the proceedings to tell him off. Taking a stand : jonny bucknell is no stranger to odd behaviour. In 2013 he slept in his car at the tory party conference. He now says he wants a rule change so he can eat a roast dinner at council meetings. The mayor, who was chairing the meeting of camden council in north london, reminded the hungry councillor that eating was banned in the chamber. But the angry diner claims he was unaware eating there was forbidden and said he now aims to campaign for a rule change. The rumpus comes a month after liberal democrat councillor martin elengorn was caught playing scrabble during a richmond council budget meeting in south - west london. Telling off : mayor of camden council, lazzaro pietragnoli, had to tell mr bucknell to stop eating. When he first noticed him eating, mr blackwell told his fellow councillors : `it appears that one of our tory colleagues is consuming a full sunday roast dinner in the council chamber. ` could i ask the borough solicitor to give us advice on eating a full roast dinner in the council chamber? It's a little bit more than a cheeky snickers.' The diner was forced to curtail his meal. Mr bucknell, who has been a councillor for more than ten years and represents belsize, hampstead, told the evening standard :' i never knew there was a ban on eating in the chamber. ` they should definitely repeal it. There is nothing wrong with nibbling from a lunch box if you are being discreet. ` it is not as if",hallucinated,"Jonny bucknell, 58, was enjoying meal in council chamber when rival, theo blackwell spotted him and alerted other councillors. He was forced to put down his cutlery when a labour rival was banned in the chamber. Says he wants a rule change so he can eat a roast dinner at council meetings."
"A union secretary has slammed supermarket chain aldi for trying to overturn workplace laws and gain the right to force employees to work more than 38 hours a week. The transport workers' union's national secretary tony sheldon condemned the requested change to the fair work act and accused aldi of trying to reintroduce serfdom. ` major retailers like aldi are trying to turn the clocks back on our modern society to reintroduce serfdom,' mr sheldon in a statement. Aldi has requested the ability to make employees work more than 38 hours in a submission to workplace relations productivity commission. ` their model is to keep workers employed on vulnerable part - time and casual basis, increasing and reducing their hours when they see fit.' National secretary of the transport workers' union, tony sheldon, accused aldi of trying to reintroduce serfdom. His comment was made amidst a new submission from the supermarket giant to the workplace relations productivity commission, in which it recommended that the national employment standards be amended to `enable employers and employees greater flexibility to determine reasonable working hours above the standard 38 hour week'. Aldi's last attempt to increase workers hours in 2012 failed despite the supermarket chain arguing that their employees `overwhelmingly supported' and `preferred' the proposals. ` aldi's experience is that employees are keen for the opportunity of guaranteed additional hours and commensurate income, and prefer this arrangement to a limit of 38 hours plus additional hours to be worked as needed,' david zalunardo, aldi's managing director, wrote. However mr sheldon argued that the employer had been stopped for good reason, saying the chain had tried to `strip workers of their rights'. ` the transport workers' union and its members acted against this billion - dollar company in 2012, when it tried to strip workers of their right to refuse to work unreasonably long hours,' he said. Mr sheldon responded by saying : `aldi.",hallucinated,National secretary of the transport workers' union has condemned the requested change to the fair work act and accused aldi of trying to gain the right to force employees to work more than 38 hours a week. Aldi's last attempt to increase workers hours in 2012 failed and `strip workers of their rights' aldi has requested the ability to make employees work more. 38 hours in a workplace relations commission.
"Accused : charlene mess, 48, allegedly murdered her husband of 30 years at their new york farm. A farmer's wife murdered her husband then buried his dead body beneath a pile of manure, authorities have said. Charlene mess, 48, was arrested on monday after her husband of 30 years, 52 - year - old douglas mess, was found killed at their farm in attica, new york. State police troopers went to the home at 1229 exchange street road after the couple's son, douglas mess, jr. , 29, reported that his father was missing. The younger mess said that his dad had failed to show up to work on monday morning and had not been seen since 8pm on sunday. An air and ground search was carried out by the wyoming county sheriff's office, local volunteer fire companies, friends and family members, and more than 25 members of the new york state police, trooper victor morales told dailymail. Com. It took seven hours to locate mess' body, which was concealed in a mound of manure at the back of the 300 - acre farm, he added. The farmer's wife, charlene mess, remained on the property throughout the entire search and was later taken into custody. Authorities believe she murdered her husband but have not commented on what led to his death or how she allegedly carried out the murder. Rural : his body was found stashed in a pile of manure at their farm along this road in attica on monday. State troopers would not comment on a motive when contacted by dailymail. Com on tuesday, citing the ongoing investigation. Mrs mess was charged with second - degree murder and has been arraigned. She is being held without bail by the village of warsaw court. Attica is a rural town of 7, 000 residents, around 40 miles southeast of buffalo, new york. The couple has lived at the farm for the past four years, property records show.",hallucinated,"Charlene mess, 48, was arrested on monday after her husband of 30 years at their new york farm. His wife, douglas mess, 29, reported that his father had failed to show up to work on monday morning and had not been seen since 8pm on sunday. It took seven hours to locate mess' body, which was concealed in a mound of manure at the back of the farm."
"After four years orbiting the closest planet to our sun, the messenger spacecraft will this week make a death - dive into mercury. But the probe hasn't finished its mission yet, with new, detailed views emerging of the planet as messenger spirals closer to its surface. Now nasa has released an image taken by the probe's visual and infrared spectrometer ( virs ) revealing distinct features such as volcanic vents and fresh craters. Nasa has released an image taken by the probe's visual and infrared spectrometer ( virs ) to reveal distinct features such as volcanic vents and fresh craters. To highlight the geological features, the images have been overlain on a black and white mosaic from the mercury dual imaging system ( mdis ). To highlight the geological features, the images have been overlain on a black and white mosaic from the mercury dual imaging system ( mdis ). This is an instrument with wide - and narrow - angle cameras that has been mapping the rugged landforms on mercury's surface. The spacecraft is expected to smash into the planet's surface at 2. 4 miles per second ( 3. 9 km / s ). The event will take place on thursday 30 april at 3 : 30 pm eastern time ( 7. 30 pm gmt ). However, when it does, messenger will be behind mercury, and hidden from earth. ` the last couple of hours will probably be pretty quiet,' mercury mission head sean solomon told nature. ` there will be a final orbit when the spacecraft passes behind the planet and we won't hear from it again.' I have worked on the mission for 19 years. It's like losing a member of the family. Even pre - knowledge doesn't prepare you completely for the loss.' The mercury dual imaging system",hallucinated,Nasa has released an image taken by the probe's visual and infrared spectrometer revealing distinct features such as volcanic vents and fresh craters. The spacecraft is expected to smash into the planet's surface at 2.4 miles per second ( 3.9 km/s ). The event will take place on thursday 30 april after a four-year mission.
